Designation (and name)	Prov. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2003 BB21	0.997	3.467	0.0273	20.9	20131104	66	212.8	344.2	4.8	0.553	2.232	2	MPO260740	2003 BB21	2003 01 27  704  LINEAR
	2003 BM4	0.795	1.599	0.01986	25.1	20131104	34.4	84.6	125.5	9.6	0.336	1.197	(  7d)	MPO 41922	2003 BM4	2003 01 26  699  LONEOS
	2003 BN1	0.786	2.238	0.05453	20.2	20030121	27.5	103.6	298.9	60.7	0.48	1.512	(  8d)	MPO 41921	2003 BN1	2003 01 25  699  LONEOS
	2003 AA83	0.538	4.567	0.06716	22.8	20030101	343.4	126.2	88.8	6.9	0.789	2.553	(  6d)	MPO 41920	2003 AA83	2003 01 13  704  LINEAR
	2003 AL73	0.779	4.306	0.10561	19.2	20131104	225.2	336.3	217.4	9.6	0.694	2.543	4	MPO208186	2003 AL73	2003 01 12  704  LINEAR
	2003 AK73	0.751	4.154	0.05641	19.5	20131104	309.5	195.7	175.4	4	0.694	2.453	2	MPO114693	2003 AK73	2003 01 11  644  NEAT
	2003 AJ69	0.95	3.988	0.01057	24.9	20131104	292	130.4	303.4	1.5	0.615	2.469	( 13d)	MPO 41918	2003 AJ69	2003 01 10  704  LINEAR
	2003 AS42	0.989	2.014	0.024	25.3	20131104	306.4	24.2	107.4	10	0.341	1.501	(  3d)	MPO265627	2003 AS42	2003 01 08  704  LINEAR
	2003 AD23	0.391	2.9	0.03419	18.7	20131104	84.3	241.4	101.7	23.4	0.763	1.645	4	MPO285661	2003 AD23	2003 01 07  704  LINEAR
	2003 AC23	0.909	3.387	0.00648	21.9	20131104	144.3	126.6	43.7	2	0.577	2.148	( 21d)	MPO 41910	2003 AC23	2003 01 07  704  LINEAR
	2003 AB23	0.897	2.213	0.08087	19.9	20131104	256.1	257.6	113.5	13.4	0.423	1.555	4	MPO154098	2003 AB23	2003 01 07  704  LINEAR
	2003 AY2	0.795	2.85	0.02122	19.4	20131104	117.2	285.9	275.1	10.3	0.564	1.822	3	MPO143167	2003 AY2	2003 01 02  699  LONEOS
	2002 YC12	0.962	2.472	0.02212	25.3	20131104	282.7	33.1	99.4	11.4	0.439	1.717	(  7d)	MPO 41901	2002 YC12	2002 12 31  704  LINEAR
	2002 YZ3	0.398	3.491	0.32075	17.9	20131104	17.8	358.7	350.2	19.9	0.795	1.944	5	MPO281854	2002 YZ3	2002 12 28  704  LINEAR
	2002 XC91	0.606	2.348	0.1224	19.7	20131104	93.7	225.5	102.5	10.8	0.59	1.477	4	MPO217999	2002 XC91	2002 12 13  291  Spacewatch
	2002 XV90	0.985	2.172	0.00037	25.5	20131104	178	356.3	79	10	0.376	1.578	( 19d)	MPO 41898	2002 XV90	2002 12 13  704  LINEAR
	2002 XT90	0.799	1.26	0.17469	18.8	20131104	251.9	43.1	287.7	43.4	0.224	1.03	4	MPO118032	2002 XT90	2002 12 15  704  LINEAR
	2002 XQ90	0.931	3.412	0.02907	22.1	20131104	156.1	115.9	282.4	3.2	0.571	2.172	( 28d)	MPO 77683	2002 XQ90	2002 12 15  704  LINEAR
	2002 XE84	0.947	4.682	0.11517	20.7	20021212	353.1	53.6	74.8	28.9	0.663	2.815	(  1d)	MPO 41897	2002 XE84	2002 12 13  704  LINEAR
	2002 XS40	0.991	2.002	0.15412	20.1	20131104	278.2	83.7	97.7	11.6	0.338	1.497	3	MPO285661	2002 XS40	2002 12 12  644  NEAT
	2002 XQ40	0.697	1.452	0.00659	22.4	20131104	339.6	72.9	270.6	2.2	0.351	1.075	4	MPO252001	2002 XQ40	2002 12 11  704  LINEAR
	2002 XF40	0.964	2.398	0.02048	24.9	20131104	13.9	326.7	74.9	10.1	0.427	1.681	(  3d)	MPO265626	2002 XF40	2002 12 10  704  LINEAR
	2002 XB40	0.827	2.878	0.0098	23.9	20131104	133.5	118.2	255.6	6.8	0.553	1.853	( 18d)	MPO110948	2002 XB40	2002 12 10  704  LINEAR
	2002 XM35	0.375	4.323	0.01963	23	20021122	344.4	312.6	230	3.1	0.84	2.349	(  1d)	MPO 41886	2002 XM35	2002 12 01  704  LINEAR
	2002 XO14	0.992	4.592	0.00787	22.1	20131104	117.7	184.8	295.4	2.6	0.645	2.792	(131d)	MPO 62434	2002 XO14	2002 12 06  704  LINEAR
	2002 XN14	0.989	2.546	0.079	20.2	20131104	251.4	310.8	86.2	11.8	0.441	1.768	2	MPO170061	2002 XN14	2002 12 05  704  LINEAR
	2002 XT4	0.929	2.29	0.01886	24	20131104	144.3	313.2	67.3	7.5	0.423	1.61	( 28d)	MPO112838	2002 XT4	2002 12 02  704  LINEAR
	2002 WX12	0.598	2.91	0.12724	19.9	20131104	224.6	328.5	211.7	8.7	0.659	1.754	3	MPO235375	2002 WX12	2002 11 30  704  LINEAR
	2002 VU114	0.843	1.518	0.0347	22.8	20131104	136.5	151.1	352.9	2.8	0.286	1.181	2	MPO213111	2002 VU114	2002 11 15  704  LINEAR
	2002 VZ91	0.97	2.179	0.00723	26.1	20131104	211.8	329.3	48.6	3.5	0.384	1.574	( 16d)	MPO 41866	2002 VZ91	2002 11 12  704  LINEAR
	2002 VY91	0.968	3.674	0.0034	26.3	20131104	43	155.9	228.1	3.4	0.583	2.321	( 22d)	MPO 41866	2002 VY91	2002 11 12  704  LINEAR
	2002 VS85	0.631	2.25	0.03233	24.1	20131104	93.2	275.8	230.3	24.8	0.562	1.44	(  3d)	MPO 62430	2002 VS85	2002 11 12  704  LINEAR
	2002 VR85	0.72	2.915	0.02675	20.4	20131104	145.7	298.8	204.9	6	0.604	1.817	( 29d)	MPO 66293	2002 VR85	2002 11 12  704  LINEAR
	2002 VP69	0.951	3.084	0.02815	17.9	20131104	268.7	188.7	307	10.2	0.529	2.018	7	MPO273876	2002 VP69	2002 11 11  704  LINEAR
	2002 VO69	0.937	1.94	0.05601	22.9	20131104	102.4	55.7	47.3	20.9	0.348	1.439	(  9d)	MPO 62429	2002 VO69	2002 11 11  704  LINEAR
	2002 VU17	0.939	3.998	0.00863	24.9	20131104	306.1	309.4	55.6	1.5	0.62	2.468	( 29d)	MPO 41849	2002 VU17	2002 11 07  704  LINEAR
	2002 VS14	0.704	1.314	0.12616	21.8	20131104	53.7	226.9	42.4	23.5	0.302	1.009	4	MPO202395	2002 VS14	2002 11 06  699  LONEOS
	2002 VR14	0.815	2.438	0.02749	22.3	20131104	79.2	44.1	76.3	5.5	0.499	1.626	(  7d)	MPO 38512	2002 VR14	2002 11 05  644  NEAT
	2002 UV36	0.992	3.93	0.00112	26.5	20131104	308.3	356.1	32.6	2.9	0.597	2.461	( 14d)	MPO 38507	2002 UV36	2002 10 31  291  Spacewatch
	2002 UZ30	0.688	1.856	0.2524	19.6	20131104	17	33.5	199.8	27.6	0.459	1.272	2	MPO245823	2002 UZ30	2002 10 29  291  Spacewatch
	2002 UQ12	0.531	2.989	0.02633	22.2	20131104	235.7	309.6	190.6	2.9	0.698	1.76	2	MPO165345	2002 UQ12	2002 10 30  704  LINEAR
	2002 UK11	0.562	2.085	0.01211	21.7	20131104	37.4	84.4	69.3	5.4	0.575	1.323	2	MPO202395	2002 UK11	2002 10 29  644  NEAT
	2002 TR190	0.905	1.249	0.00346	19.4	20131104	243.7	104.7	24.2	26.9	0.16	1.077	2	MPO264927	2002 TR190	2002 10 12  704  LINEAR
	2002 TB70	0.984	1.283	0.01692	21.6	20131104	259.3	350.8	195.1	16.7	0.132	1.133	2	MPO147233	2002 TB70	2002 10 10  644  NEAT
	2002 TA69	0.95	3.603	0.07742	18.2	20131104	69	48	28.3	38.7	0.583	2.276	2	MPO160326	2002 TA69	2002 10 09  704  LINEAR
	2002 TA67	0.745	1.57	0.01097	22.8	20131104	15	86.2	191.2	30	0.356	1.158	(  7d)	MPO 38456	2002 TA67	2002 10 07  291  Spacewatch
	2002 TG66	0.872	2.932	0.01592	23.9	20131104	97.6	140.6	174.1	4.7	0.541	1.902	( 10d)	MPO 74220	2002 TG66	2002 10 06  644  NEAT
	2002 TA60	0.551	1.755	0.12133	20.7	20131104	44.3	233.6	11.8	28.2	0.522	1.153	2	MPO125883	2002 TA60	2002 10 05  704  LINEAR
	2002 TZ59	0.404	4.583	0.0019	23.1	20131104	302.1	251.6	5.4	16.2	0.838	2.493	(  5d)	MPO215071	2002 TZ59	2002 10 04  704  LINEAR
	2002 TY59	0.781	1.257	0.00272	25.5	20131104	353.9	259.2	9.8	6.6	0.234	1.019	( 26d)	MPO 77658	2002 TY59	2002 10 04  704  LINEAR
	2002 TA58	0.933	4.01	0.00199	26.8	20131104	300	217.9	192.1	1.7	0.622	2.472	(  4d)	MPO 38453	2002 TA58	2002 10 03  704  LINEAR
	2002 TZ57	0.924	1.502	0.04195	24.6	20131104	157.1	290.8	7.8	16.1	0.238	1.213	(  7d)	MPO 38453	2002 TZ57	2002 10 03  704  LINEAR
	2002 TX55	0.957	3.514	0.00286	23.7	20131104	123.4	149	190.1	4.4	0.572	2.235	2	MPO285660	2002 TX55	2002 10 03  704  LINEAR
	2002 TV55	0.972	4.779	0.13375	21	20131104	85.2	251.9	189.9	11.4	0.662	2.876	(176d)	MPO230188	2002 TV55	2002 10 02  704  LINEAR
	2002 SQ41	0.52	4.697	0.00885	20.1	20131104	214.3	95.7	22	25.1	0.801	2.609	( 22d)	MPO 66282	2002 SQ41	2002 09 29  608  NEAT
	2002 SZ	0.735	1.86	0.00202	20.4	20131104	234.7	276.5	346.9	22.9	0.433	1.298	5	E2014-D27	2002 SZ	2002 09 26  644  NEAT
	2002 SR	0.948	1.411	0.0509	21.6	20131104	182	285.1	160.9	6.7	0.196	1.179	3	MPO227404	2002 SR	2002 09 21  644  NEAT
	2002 SQ	0.877	1.965	0.08293	19.5	20131104	154.5	258.9	183.8	16.8	0.383	1.421	4	MPO176759	2002 SQ	2002 09 21  644  NEAT
	2002 RB182	0.891	4.051	0.002	23.1	20131104	300	254.1	165.8	0.2	0.639	2.471	(  2d)	MPO265619	2002 RB182	2002 09 14  644  NEAT
	2002 RT129	0.45	3.213	0.098	19.5	20131104	203.1	55.7	178.6	19.6	0.754	1.832	3	MPO241851	2002 RT129	2002 09 12  644  NEAT
	2002 RS129	0.692	1.371	0.01674	23	20131104	319.3	247	339	8.4	0.329	1.031	( 35d)	MPO116220	2002 RS129	2002 09 12  644  NEAT
	2002 RB126	0.397	2.463	0.08235	18.7	20131104	219.4	224.8	7	15.1	0.722	1.43	6	MPO190321	2002 RB126	2002 09 11  G78  W. K. Y. Yeung
	2002 RZ125	0.659	2.17	0.17233	19.8	20131104	278.7	56.5	171.9	29	0.534	1.414	( 20d)	MPO 38401	2002 RZ125	2002 09 10  644  NEAT
	2002 RC117	0.901	3.991	0.00093	24.9	20131104	321	222.1	169.9	2.5	0.632	2.446	( 15d)	MPO 57891	2002 RC117	2002 09 06  704  LINEAR
	2002 RQ25	0.771	1.453	0.05064	20.4	20131104	271.2	225.5	10.7	4.6	0.306	1.112	4	MPO230186	2002 RQ25	2002 09 03  599  CINEOS
	2002 RT	0.411	2.594	0.16651	20.9	20131104	347.9	131.4	338.1	38.8	0.727	1.502	2	MPO269431	2002 RT	2002 09 03  644  NEAT
	2002 QW47	0.949	2.993	0.00291	20.5	20131104	38.4	140.9	116.3	4.2	0.519	1.971	2	MPO215069	2002 QW47	2002 08 30  644  NEAT
	2002 QG46	0.897	3.961	0.09838	19.9	20131104	357.2	268.6	345.6	8.3	0.631	2.429	(228d)	MPO 87543	2002 QG46	2002 08 30  644  NEAT
	2002 QQ40	0.529	1.901	0.02812	21.1	20131104	68	356.5	104.1	1.7	0.565	1.215	( 20d)	MPO 66279	2002 QQ40	2002 08 30  644  NEAT
	2002 QD7	0.853	3.989	0.10008	18	20131104	340.5	197.2	198	11.6	0.648	2.421	4	MPO266869	2002 QD7	2002 08 20  704  LINEAR
	2002 PE130	0.974	4.146	0.02855	18.2	20131104	254.3	33.5	357.5	15.6	0.62	2.56	3	MPO208180	2002 PE130	2002 08 14  704  LINEAR
	2002 PD43	0.11	4.907	0.02934	19.1	20131104	311.5	210.7	315.2	26.1	0.956	2.509	4	MPO277120	2002 PD43	2002 08 07  644  NEAT
	2002 PX39	0.999	3.908	0.01122	23.4	20131104	340.3	140.7	135.3	1.8	0.593	2.454	( 40d)	MPO193932	2002 PX39	2002 08 08  644  NEAT
	2002 PD11	0.302	4.14	0.10502	20.1	20131104	120.8	150.6	296.9	12.1	0.864	2.221	( 37d)	MPO 62393	2002 PD11	2002 08 05  644  NEAT
	2002 PN	0.945	1.084	0.00333	24.8	20131104	267.5	107.6	309.5	9.1	0.069	1.015	(249d)	MPO 48243	2002 PN	2002 08 02  G78  W. K. Y. Yeung
	2002 PB	0.704	1.44	0.16605	20.5	20131104	135.7	49.4	142.8	33	0.343	1.072	2	MPO236231	2002 PB	2002 08 01  704  LINEAR
	2002 OY21	0.448	2.262	0.08662	20.7	20131104	7.8	314.4	119.2	13.9	0.669	1.355	( 15d)	MPO 34034	2002 OY21	2002 07 29  644  NEAT
	2002 NE71	0.796	3.034	0.04985	19.2	20131104	53.2	144	264.7	7.2	0.584	1.915	2	MPO193931	2002 NE71	2002 07 08  644  NEAT
	2002 NY40	0.596	3.503	0.00103	19	20131104	280.1	269	146.1	5.9	0.709	2.05	2	MPO264924	2002 NY40	2002 07 14  704  LINEAR
	2002 NX	0.986	2.497	0.10351	19.3	20131104	309.6	62.2	288.5	15	0.434	1.741	2	MPO170051	2002 NX	2002 07 05  644  NEAT
	2002 NW	0.534	2.687	0.0135	24.2	20131104	168.2	288.1	102.3	6	0.669	1.61	(  6d)	MPO 34020	2002 NW	2002 07 05  644  NEAT
	2002 MT3	0.868	4.743	0.03699	19.9	20131104	162.1	25.2	168.4	6.5	0.691	2.805	( 31d)	MPO 66278	2002 MT3	2002 06 30  644  NEAT
	2002 MS3	0.932	3.855	0.08822	19.1	20131104	4.5	239.5	106.2	21.9	0.611	2.393	2	MPO278183	2002 MS3	2002 06 30  644  NEAT
	2002 MR3	0.572	2.444	0.04214	21.4	20131104	74.1	67.2	110.3	9.8	0.621	1.508	(  8d)	MPO 34019	2002 MR3	2002 06 30  704  LINEAR
	2002 MX	0.51	4.499	0.01475	21.7	20131104	326.4	237.8	284.1	2	0.796	2.504	( 19d)	MPO271188	2002 MX	2002 06 17  704  LINEAR
	2002 MN	0.911	2.719	0.00045	23.6	20131104	251.4	131.6	85.1	1	0.498	1.815	( 53d)	MPO 34019	2002 MN	2002 06 17  704  LINEAR
	2002 LZ45	0.847	3.757	0.00803	23	20131104	79.5	239.8	91.3	6.2	0.632	2.302	( 10d)	MPO 32041	2002 LZ45	2002 06 14  704  LINEAR
	2002 LS32	0.54	3.026	0.12525	18.2	20131104	251.1	151.5	239.9	8.8	0.697	1.783	6	MPO173876	2002 LS32	2002 06 10  644  NEAT
	2002 LE31	0.913	3.073	0.08691	20	20131104	39.4	359.8	192.8	11.4	0.542	1.993	2	MPO 85536	2002 LE31	2002 06 10  699  LONEOS
	2002 LR24	0.999	1.508	0.01983	24.3	20131104	21.4	38.5	256.5	20	0.203	1.254	(  7d)	MPO 32039	2002 LR24	2002 06 08  704  LINEAR
	2002 LG3	0.598	4.127	0.10272	19.6	20131104	29.5	174.4	182.4	6.1	0.747	2.363	2	MPO 41766	2002 LG3	2002 06 05  699  LONEOS
	2002 LX	0.829	4.202	0.03805	21.1	20131104	324.7	345.3	197.6	3.2	0.67	2.515	( 33d)	MPO 34011	2002 LX	2002 06 03  704  LINEAR
	2002 LW	0.913	1.12	0.03371	22.4	20131104	301.6	126.1	250.1	11.2	0.102	1.017	2	MPO167578	2002 LW	2002 06 02  644  NEAT
	2002 LK	0.94	1.269	0.02099	24.2	20131104	5	285.8	248.5	25.1	0.149	1.104	(  6d)	MPO 38336	2002 LK	2002 06 01  246
	2002 KJ4	0.997	3.533	0.01382	19.5	20131104	131.4	155.2	75.7	27.9	0.56	2.265	( 89d)	MPO 35578	2002 KJ4	2002 05 22  704  LINEAR
	2002 KG4	0.989	4.886	0.0288	20.9	20131104	102.2	149.7	64.5	27.6	0.663	2.938	( 31d)	MPO 32034	2002 KG4	2002 05 22  704  LINEAR
	2002 KM3	0.831	1.699	0.04733	22.3	20131104	327.7	92.3	236.9	9.4	0.343	1.265	( 27d)	MPO154081	2002 KM3	2002 05 19  291  Spacewatch
	2002 JD109	0.708	3.333	0.30184	18.3	20131104	335.4	186.8	143.3	24.7	0.65	2.02	4	MPO152343	2002 JD109	2002 05 15  699  LONEOS
	2002 JQ100	0.568	1.793	0.23971	19.8	20131104	67.9	40.1	47.4	29.6	0.519	1.181	3	MPO200223	2002 JQ100	2002 05 13  704  LINEAR
	2002 JU15	0.932	1.427	0.00212	26.2	20131104	31.1	302.6	223.2	10.6	0.21	1.179	( 12d)	MPO 32016	2002 JU15	2002 05 08  704  LINEAR
	2002 JQ9	0.7	1.613	0.04756	19.2	20131104	140.1	76	51.9	25	0.394	1.157	4	MPO232508	2002 JQ9	2002 05 06  704  LINEAR
	2002 JE9	0.623	1.513	0.00592	21.2	20131104	226.7	255.4	200.1	8.8	0.417	1.068	6	MPO232508	2002 JE9	2002 05 06  704  LINEAR
	2002 JD9	0.59	1.526	0.05375	22.7	20131104	137.7	139	208.3	6.6	0.442	1.058	(  9d)	MPO 74177	2002 JD9	2002 05 07  704  LINEAR
	2002 JC9	0.381	4.121	0.17442	18.5	20131104	172.8	21.2	77.4	13.7	0.831	2.251	3	MPO232508	2002 JC9	2002 05 06  291  Spacewatch
	2002 JZ8	0.969	4.513	0.00647	21.1	20131104	198.8	338.7	200.7	9.8	0.647	2.741	( 69d)	MPO 62390	2002 JZ8	2002 05 05  704  LINEAR
	2002 JY8	0.947	3.722	0.0659	17.7	20131104	59.6	187.5	128.1	24.3	0.594	2.334	3	MPO159679	2002 JY8	2002 05 04  704  LINEAR
	2002 JS2	0.369	3.887	0.09078	18	20131104	272.2	320.5	123.6	11.6	0.826	2.128	( 45d)	MPO 32013	2002 JS2	2002 05 04  704  LINEAR
	2002 HP11	0.486	3.65	0.01662	20.4	20131104	337.2	90.3	9.4	5.1	0.765	2.068	( 26d)	MPO 62390	2002 HP11	2002 04 21  704  LINEAR
	2002 GP186	0.858	1.713	0.08256	20.2	20131104	95	24.7	31.3	8.1	0.333	1.286	( 19d)	MPO167577	2002 GP186	2002 04 08  644  NEAT
	2002 GJ8	0.509	5.413	0.0914	19.4	20131104	82.5	180.4	144.1	5.3	0.828	2.961	3	MPO248763	2002 GJ8	2002 04 12  644  NEAT
	2002 GG8	0.998	3.62	0.04237	24.7	20131104	116.5	327.4	201.5	12.5	0.568	2.309	( 21d)	MPO 30735	2002 GG8	2002 04 11  704  LINEAR
	2002 GQ5	0.602	1.706	0.09802	20.7	20131104	191.9	12.9	63.6	6.3	0.478	1.154	3	MPO232507	2002 GQ5	2002 04 11  644  NEAT
	2002 GO5	0.442	3.351	0.03392	17.9	20131104	175	64.9	23	13.8	0.767	1.897	2	MPO 65339	2002 GO5	2002 04 11  704  LINEAR
	2002 GM5	0.645	3.582	0.00689	21.5	20131104	256.5	274.5	13.5	7.3	0.695	2.113	(  7d)	MPO147211	2002 GM5	2002 04 10  704  LINEAR
	2002 GM2	0.421	3.976	0.01085	18.6	20131104	227.1	84	339.7	3.4	0.808	2.199	2	MPO206056	2002 GM2	2002 04 04  644  NEAT
	2002 GK1	0.944	4.122	0.00532	22.5	20131104	305.3	214.2	21.1	13.1	0.627	2.533	(  6d)	MPO 30733	2002 GK1	2002 04 04  704  LINEAR
	2002 GJ1	0.996	2.999	0.03324	23.3	20131104	28.6	35.8	187.6	6.9	0.501	1.997	(  1d)	MPO265615	2002 GJ1	2002 04 04  608  NEAT
	2002 GR	0.952	1.451	0.00513	23.2	20131104	324.1	313.7	183.8	7.3	0.207	1.201	( 48d)	MPO 31990	2002 GR	2002 04 03  704  LINEAR
	2002 GA	0.967	3.041	0.11101	20.1	20131104	37.5	112.7	47.5	12.7	0.517	2.004	( 66d)	MPO 87536	2002 GA	2002 04 01  704  LINEAR
	2002 FD6	0.811	1.655	0.0038	22.3	20131104	124	256.8	15.2	10.1	0.342	1.233	2	MPO264923	2002 FD6	2002 03 21  704  LINEAR
	2002 FU5	0.749	4.264	0.05205	21	20131104	314	156.5	111.6	4.2	0.701	2.507	( 34d)	MPO 87536	2002 FU5	2002 03 20  644  NEAT
	2002 FQ5	0.787	3.043	0.0323	20.5	20131104	108.1	80.4	196.5	7.6	0.589	1.915	3	MPO186883	2002 FQ5	2002 03 20  699  LONEOS
	2002 FC	0.966	4.705	0.02086	18.9	20131104	144.1	195	50.4	6.8	0.659	2.835	2	MPO264923	2002 FC	2002 03 16  699  LONEOS
	2002 FB	0.98	1.43	0.01316	26.6	20131104	309.3	143.4	355.8	7	0.187	1.205	(  2d)	MPO265614	2002 FB	2002 03 16  704  LINEAR
	2002 EW11	0.868	2.167	0.01243	24.8	20131104	54.9	66.7	169.7	3.7	0.428	1.518	( 10d)	MPO 74151	2002 EW11	2002 03 14  704  LINEAR
	2002 EV11	0.228	3.965	0.04631	20	20131104	319.6	217.3	184.3	11.8	0.891	2.097	3	MPO137953	2002 EV11	2002 03 13  704  LINEAR
	2002 EU11	0.747	3.944	0.01418	21.9	20131104	72.7	274.8	346.1	2.9	0.682	2.345	( 13d)	MPO 30703	2002 EU11	2002 03 13  704  LINEAR
	2002 EX8	0.854	2.928	0.06306	20.7	20131104	149.7	66.4	177.6	26.1	0.548	1.891	(199d)	MPO 38333	2002 EX8	2002 03 13  704  LINEAR
	2002 EW8	0.999	2.695	0.04104	23.5	20131104	240.8	328.5	176.6	11.4	0.459	1.847	2	MPO117434	2002 EW8	2002 03 13  704  LINEAR
	2002 EN7	0.796	1.699	0.06072	21.3	20131104	50.6	297.2	350.3	22.2	0.362	1.248	( 24d)	MPO 87533	2002 EN7	2002 03 12  644  NEAT
	2002 EM6	0.996	1.323	0.05117	20.1	20131104	7.3	120.9	169.5	31.8	0.141	1.16	3	MPO241848	2002 EM6	2002 03 12  704  LINEAR
	2002 EL6	0.968	3.631	0.04362	18	20131104	97.3	186.4	85	9.5	0.579	2.3	4	MPO224587	2002 EL6	2002 03 10  113  A. Knofel
	2002 EC3	0.841	1.74	0.05596	21.1	20131104	292.8	264.1	355.4	14	0.348	1.291	( 17d)	MPO 30700	2002 EC3	2002 03 09  704  LINEAR
	2002 EY2	0.886	2.564	0.0002	19.3	20131104	128.1	51	343.5	21.7	0.486	1.725	4	MPO202389	2002 EY2	2002 03 06  691  Spacewatch
	2002 EY	0.79	3.485	0.10774	19.9	20131104	285.8	264.9	170.8	20.2	0.631	2.137	( 44d)	MPO 87533	2002 EY	2002 03 06  644  NEAT
	2002 EW	0.332	2.795	0.06697	20.7	20131104	13.7	24.1	15.9	6.7	0.788	1.563	3	MPO 97577	2002 EW	2002 03 05  704  LINEAR
	2002 EA	0.794	1.97	0.03558	22.4	20131104	27.7	262.9	342.3	11.3	0.425	1.382	(  9d)	MPO 70340	2002 EA	2002 03 02  941  R. Ferrando
	2002 DO3	0.931	2.789	0.02994	22	20131104	196.6	165.5	56.2	3.8	0.499	1.86	( 34d)	MPO 30697	2002 DO3	2002 02 21  704  LINEAR
	2002 DH2	0.942	3.161	0.06982	20.3	20131104	336.1	231.8	345.6	20.9	0.541	2.051	2	MPO 72539	2002 DH2	2002 02 20  699  LONEOS
	2002 CT118	0.831	1.729	0.04903	24.5	20131104	350.9	266.2	321.9	10.4	0.351	1.28	(  1d)	MPO265613	2002 CT118	2002 02 11  704  LINEAR
	2002 CY58	0.841	1.891	0.06092	21	20131104	200.1	39.9	341.7	8.3	0.384	1.366	2	MPO173870	2002 CY58	2002 02 12  704  LINEAR
	2002 CX58	0.949	4.642	0.03279	22.1	20131104	173.6	75.7	110.2	2.5	0.661	2.795	( 55d)	MPO 74137	2002 CX58	2002 02 12  704  LINEAR
	2002 CU46	0.755	2.715	0.09264	21.1	20131104	16.6	92.9	145.1	32.2	0.565	1.735	( 21d)	MPO 87528	2002 CU46	2002 02 11  704  LINEAR
	2002 CB26	0.537	3.435	0.00084	26.9	20131104	84.3	265.7	139.7	6.9	0.73	1.986	(  4d)	MPO 26156	2002 CB26	2002 02 10  704  LINEAR
	2002 CA26	0.804	4.024	0.0024	27.3	20131104	54.6	318.3	119.7	0.5	0.667	2.414	(  4d)	MPO 26156	2002 CA26	2002 02 08  704  LINEAR
	2002 CB19	0.703	1.863	0.00231	25	20131104	66.1	88.6	318.1	17.1	0.452	1.283	( 29d)	MPO 30639	2002 CB19	2002 02 07  704  LINEAR
	2002 CN15	0.402	2.247	0.06137	20.8	20131104	205.9	332.1	298.6	6.1	0.696	1.325	( 36d)	MPO 62386	2002 CN15	2002 02 08  703  Catalina Sky Survey
	2002 CD14	0.748	2.808	0.02838	20.6	20131104	286.7	141.2	127.7	2.9	0.579	1.778	3	MPO152333	2002 CD14	2002 02 07  291  Spacewatch
	2002 CV11	0.941	2.17	0.03384	23.8	20131104	37.5	314.3	136.6	17.1	0.395	1.555	(  7d)	MPO243017	2002 CV11	2002 02 07  704  LINEAR
	2002 CY9	0.811	2.483	0.00514	19.5	20131104	225.4	117.3	305.4	41.9	0.508	1.647	( 33d)	MPO 50589	2002 CY9	2002 02 06  704  LINEAR
	2002 BG25	0.944	1.52	0.05151	20.9	20131104	173.9	239.3	316.6	48.8	0.234	1.232	2	MPO264922	2002 BG25	2002 01 25  704  LINEAR
	2002 BF25	0.835	1.311	0.01939	22.2	20131104	285.8	78	305.9	6.3	0.222	1.073	3	MPO264922	2002 BF25	2002 01 25  704  LINEAR
	2002 BJ2	0.709	3.388	0.07862	17.2	20131104	39.7	60.9	16.6	26.1	0.654	2.049	2	MPO 62386	2002 BJ2	2002 01 21  333  W. K. Y. Yeung
	2002 BM	0.981	4.195	0.00154	24.1	20131104	293.1	170.8	296.3	12.2	0.621	2.588	(  2d)	MPO 24055	2002 BM	2002 01 19  704  LINEAR
	2002 AN129	0.865	2.688	0.00203	26.2	20131104	338.4	74.5	94.2	0.3	0.513	1.777	(  2d)	MPO 24052	2002 AN129	2002 01 14  704  LINEAR
	2002 AJ69	0.702	1.659	0.21631	21.2	20020106	83.1	226.5	116.1	25.9	0.405	1.18	(  4d)	MPO 62386	2002 AJ69	2002 01 14  704  LINEAR
	2002 AL31	0.886	1.467	0.01231	24.5	20131104	44.1	247.1	297.8	7.6	0.247	1.176	(  8d)	MPO 24038	2002 AL31	2002 01 14  644  NEAT
	2002 AE29	0.935	3.834	0.02424	24.6	20131104	84.6	306.4	118.2	3.6	0.608	2.385	(  5d)	MPO265613	2002 AE29	2002 01 13  704  LINEAR
	2002 AD29	0.924	2.593	0.24945	21	20131104	58.4	273.2	112.7	31.7	0.475	1.758	( 11d)	MPO 62385	2002 AD29	2002 01 13  704  LINEAR
	2002 AC29	0.815	2.468	0.07518	17.7	20131104	146.2	129.7	85.1	26.6	0.503	1.642	4	MPO167569	2002 AC29	2002 01 13  704  LINEAR
	2002 AT15	0.994	2.793	0.31031	18.3	20131104	222.6	266.5	108.5	36.4	0.475	1.894	3	MPO170042	2002 AT15	2002 01 12  704  LINEAR
	2002 AL14	0.907	1.168	0.07571	17.8	20131104	201.7	226.1	128.5	23	0.126	1.038	4	MPO 97543	2002 AL14	2002 01 11  704  LINEAR
	2002 AK14	0.909	1.124	0.08345	21.5	20131104	315.1	222.3	117.4	18	0.106	1.017	2	MPO230183	2002 AK14	2002 01 11  704  LINEAR
	2002 AE9	0.633	1.612	0.20039	18.9	20131104	249.3	129.2	127.5	37.9	0.436	1.122	4	MPO131804	2002 AE9	2002 01 11  704  LINEAR
